Name,Link,Price,Image
"
          Bananas Hand (Case Sale, Box 13kg) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/bananas-hand-case-sale-4206,$4.00 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/HFM_904201_W_1000PX_3ea5a410-7b2e-494b-b5b2-f807be2cfcc9_medium.jpeg?v=1593221142
"
          Bananas Lady Finger (5 pieces) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/bananas-lady-finger-kg-4221,$11.29 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/Banana_Lady_Finger_51fd0c2a-b9cc-4190-850e-81e2ccffd0c1_medium.jpeg?v=1592091490
"
          Bananas Large (5 pieces) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/bananas-loose-4201,$4.49 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/banana_fe01ef8c-457d-4e0b-b5d8-c4a19fb628ef_medium.jpeg?v=1477332346
"
          Bananas Organic (5 pieces) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/bananas-organic-5-in-a-bunch-74211,$5.69 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/74211-done_medium.jpg?v=1589500561
"
          Bananas Smart (min 750g pack) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/bananas-smart-pack,$4.65 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/smart_banana_1_2d2acd35-5f32-4352-a1e7-df20c74cf6db_medium.jpeg?v=1441110933
"
          Blackberries (125g punnet) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/blackberries-punnet-4242,$6.50 per each,https://cdn.shopify.com/s/files/1/0206/9470/products/blackberries_resized_1_d3ce068c-611a-499f-953c-0c4e56bd7e9f_medium.jpeg?v=1479157044
"
          Blueberries (125g punnet) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/blueberries-4232,$3.99 each,https://cdn.shopify.com/s/files/1/0206/9470/products/blueberries-resized_medium.jpg?v=1492134192
"
          Blueberries (Tray Sale, Tray of 12 Punnets) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/blueberries-wholesale,$3.99 per item,https://cdn.shopify.com/s/files/1/0206/9470/products/94232-done_medium.jpg?v=1593650782
"
          Blueberries Organic (125g punnet) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/blueberries-organic-74232,$45.52 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/74232-blueberries-organic-punnet-done_medium.jpg?v=1553983778
"
          Blueberries Premium (125g punnet) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/blueberries-premium-punnet-4230,$5.50 each,https://cdn.shopify.com/s/files/1/0206/9470/products/blueberries_7aec1fdc-f631-4800-ade8-d4bbf3234481_medium.jpeg?v=1589661583
"
          Blueberries Premium (Tray Sale, Tray of 12 Punnets) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/blueberries-premium-wholesale,$5.50 per item,https://cdn.shopify.com/s/files/1/0206/9470/products/BLUEBERRIES_medium.jpg?v=1477162003
"
          Cherries (min 400g) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/cherries-tray-4351,$33.69 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/cherries_resized_1_7e1bbb7d-c228-4220-8a8e-d47cea5dc10e_medium.jpeg?v=1589579964
"
          Coconut (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/coconuts-each-4382,$3.49 per each,https://cdn.shopify.com/s/files/1/0206/9470/products/coconuts_4382_resized_d9dfdbc5-5037-41cb-88d2-43088d2c449c_medium.jpeg?v=1476812986
"
          Coconut Drinking (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/coconuts-drinking-each,$5.69 per each,https://cdn.shopify.com/s/files/1/0206/9470/products/Coconut_Drinking_84f9905c-85a2-49a3-be64-49f0ba86cfba_medium.jpeg?v=1476812989
"
          Dates (Case Sale, Box 5kg) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/dates-wholesale-904411,$21.20 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/HFM_904411_W_1000PX_medium.jpeg?v=1476807849
"
          Dragon Fruit (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/dragon-fruit-each-5012,$11.29 per each,https://cdn.shopify.com/s/files/1/0206/9470/products/Dragon_Fruit_5012_resized_29adabef-07cf-44cb-8212-0e0d5531ba64_medium.jpeg?v=1486404261
