Name,Price,Image,Category
"
                     Fresh Corella Pear  750g
                ","
                        $4.67 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/668580.jpg,Pear
"
                    Woolworths Fresh Food Kids Mini Apple Packs 5pk 300g
                ","
                        $16.67 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/673279.jpg,Apple
"
                    Zespri Kiwi Fruit Gold  500g punnet
                ","
                        $11.00 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/621085.jpg,Kiwi
"
                     Fresh Strawberry  250g
                ","
                        $15.60 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/144607.jpg,Strawberries
"
                    The Odd Bunch Lime Prepacked  500g
                ","
                        $13.80 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/830354.jpg,Lime
"
                    The Odd Bunch Lemon Prepacked  500g
                ","
                        $5.00 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/830353.jpg,Lemon
"
                    Macro Organic Pear  500g
                ","
                        $13.80 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/847227.jpg,Pear
"
                     Lemon Fresh  500g
                ","
                        $6.00 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/693501.jpg,Lemon
"
                    Woolworths Fresh Food Kids Mini Apples  5 pack
                ","
                        $0.50 / 1EA
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/588064.jpg,Apple
"
                    Woolworths Fresh Food Kids Mini Pears  5 pack
                ","
                        $0.50 / 1EA
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/588302.jpg,Pear
"
                    Woolworths Kiwifruit Green Kids  5 pack
                ","
                        $0.50 / 1EA
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/648994.jpg,Kiwi
"
                    Rockit Fresh Apple  5 pack
                ",,https://cdn0.woolworths.media/content/wowproductimages/medium/880402.jpg,Apple
"
                    Montague Sparkling Apple Juice  4x300ml cans
                ","
                        $5.83 / 1L
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/405925.jpg,Apple
"
                    Woolworths Fruit Platter  400g
                ","
                        $12.50 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/515705.jpg,Mixed
"
                    Macro Navel Oranges Organic  3kg bag
                ","
                        $2.97 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/175716.jpg,Orange
"
                     Cherries Red  300g punnet
                ","
                        $26.33 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/627400.jpg,Cherries
"
                    Macro Organic Dates Punnet 200g
                ","
                        $30.00 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/318163.jpg,Dates
"
                    Good To Go Fresh Pineapple  200g
                ","
                        $17.50 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/073195.jpg,Pineapple
"
                    Woolworths Good To Go Seasonal Melon Mix  200g
                ",,https://cdn0.woolworths.media/content/wowproductimages/medium/073194.jpg,Melon
"
                    Woolworths Good To Go Mixed Fruit Salad With Passionfruit 200g
                ","
                        $22.50 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/073196.jpg,Passionfruit
"
                    Kanzi Apple  1kg punnet
                ","
                        $4.90 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/785544.jpg,Apple
"
                    Woolworths Apple Fuji  1kg punnet
                ",,https://cdn0.woolworths.media/content/wowproductimages/medium/175709.jpg,Apple
"
                    Woolworths Pack Mixed Fruit  1kg punnet
                ","
                        $4.90 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/727432.jpg,Mixed
"
                    Macro Fuji Apple Organic 1kg punnet
                ",,https://cdn0.woolworths.media/content/wowproductimages/medium/211774.jpg,Apple
"
                     Orange Cara Cara  1kg punnet
                ","
                        $4.00 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/767560.jpg,Orange
